variable,x_value,alpha_target,f_gasoline,S_gasoline_lag,prev_u_gasoline,alpha_fitted,residual
S_gasoline_lag,4.173446114360967,1.0,-196.63216233755864,4.173446114360967,0.0,0.9995594268811557,-0.0004405731188442674
S_gasoline_lag,4.921740718703312,1.0,-196.63216233755864,4.921740718703312,0.0,0.9983199575112902,-0.0016800424887097876
S_gasoline_lag,5.670035323045653,1.0,-196.63216233755864,5.670035323045653,0.0,0.9970804881414248,-0.0029195118585751967
S_gasoline_lag,6.4183299273879975,0.99,-196.63216233755864,6.4183299273879975,0.0,0.9958410187715594,0.005841018771559403
S_gasoline_lag,7.166624531730342,0.99,-196.63216233755864,7.166624531730342,0.0,0.994601549401694,0.004601549401693994
S_gasoline_lag,7.914919136072687,0.99,-196.63216233755864,7.914919136072687,0.0,0.9933620800318285,0.003362080031828474
S_gasoline_lag,8.663213740415028,0.99,-196.63216233755864,8.663213740415028,0.0,0.9921226106619631,0.0021226106619630647
S_gasoline_lag,9.411508344757372,0.99,-196.63216233755864,9.411508344757372,0.0,0.9908831412920976,0.0008831412920976556
S_gasoline_lag,10.159802949099715,0.99,-196.63216233755864,10.159802949099715,0.0,0.9896436719222321,-0.00035632807776786457
S_gasoline_lag,10.908097553442058,0.99,-196.63216233755864,10.908097553442058,0.0,0.9884042025523667,-0.0015957974476332737
S_gasoline_lag,11.656392157784405,0.99,-196.63216233755864,11.656392157784405,0.0,0.9871647331825013,-0.002835266817498683
S_gasoline_lag,12.404686762126744,0.98,-196.63216233755864,12.404686762126744,0.0,0.9859252638126359,0.005925263812635917
S_gasoline_lag,13.152981366469092,0.98,-196.63216233755864,13.152981366469092,0.0,0.9846857944427704,0.004685794442770397
S_gasoline_lag,13.901275970811431,0.98,-196.63216233755864,13.901275970811431,0.0,0.983446325072905,0.0034463250729049877
S_gasoline_lag,14.64957057515378,0.98,-196.63216233755864,14.64957057515378,0.0,0.9822068557030396,0.0022068557030395786
S_gasoline_lag,15.397865179496122,0.98,-196.63216233755864,15.397865179496122,0.0,0.9809673863331742,0.0009673863331741694
S_gasoline_lag,16.146159783838463,0.98,-196.63216233755864,16.146159783838463,0.0,0.9797279169633086,-0.0002720830366913507
S_gasoline_lag,16.89445438818081,0.98,-196.63216233755864,16.89445438818081,0.0,0.9784884475934432,-0.0015115524065567598
S_gasoline_lag,17.642748992523153,0.98,-196.63216233755864,17.642748992523153,0.0,0.9772489782235778,-0.002751021776422169
S_gasoline_lag,18.391043596865494,0.98,-196.63216233755864,18.391043596865494,0.0,0.9760095088537124,-0.003990491146287578
S_gasoline_lag,19.13933820120784,0.97,-196.63216233755864,19.13933820120784,0.0,0.9747700394838469,0.004770039483846911
S_gasoline_lag,19.887632805550183,0.97,-196.63216233755864,19.887632805550183,0.0,0.9735305701139815,0.0035305701139815016
S_gasoline_lag,20.635927409892524,0.97,-196.63216233755864,20.635927409892524,0.0,0.9722911007441161,0.0022911007441160924
S_gasoline_lag,21.384222014234872,0.97,-196.63216233755864,21.384222014234872,0.0,0.9710516313742505,0.0010516313742505723
S_gasoline_lag,22.132516618577213,0.97,-196.63216233755864,22.132516618577213,0.0,0.9698121620043851,-0.00018783799561483683
S_gasoline_lag,22.880811222919554,0.97,-196.63216233755864,22.880811222919554,0.0,0.9685726926345197,-0.001427307365480246
S_gasoline_lag,23.629105827261903,0.97,-196.63216233755864,23.629105827261903,0.0,0.9673332232646543,-0.002666776735345655
S_gasoline_lag,24.377400431604244,0.97,-196.63216233755864,24.377400431604244,0.0,0.9660937538947888,-0.003906246105211175
S_gasoline_lag,25.125695035946592,0.96,-196.63216233755864,25.125695035946592,0.0,0.9648542845249234,0.0048542845249234245
