month,u_gasoline_sum,u_diesel_sum,gasoline_price_base,diesel_price_base,cpi_yoy,cpi_target,x_gasoline,x_diesel,cpi_hat_next,inflation_excess,deflation_gap,Lpi_inflation,Lpi_deflation,Lpi_raw,Lpi_winsorized,Lpi,mechanism,mechanism_label
2018-07-01,145.0,140.0,9050.0,8020.0,0.021,0.03,0.016022099447513812,0.017456359102244388,0.020493498733417118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2018-08-01,20.0,20.0,9195.0,8160.0,0.023,0.03,0.002175095160413268,0.0024509803921568627,0.021449269196093558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2018-09-01,325.0,315.0,9215.0,8180.0,0.025,0.03,0.0352685838307108,0.03850855745721271,0.0254340756491687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2018-10-01,405.0,390.0,9540.0,8495.0,0.025,0.03,0.04245283018867924,0.04590935844614479,0.025982033458323648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2018-11-01,-885.0,-855.0,9945.0,8885.0,0.022,0.03,0.0,0.0,0.02039565985078107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2018-12-01,-1035.0,-995.0,9060.0,8030.0,0.019,0.03,0.0,0.0,0.017604074006989812,0.0,0.002395925993010188,0.0,0.04012675069641679,0.04012675069641679,0.04012675069641679,0.0348383214519234,current,Current mechanism
2019-01-01,350.0,335.0,8025.0,7035.0,0.017,0.03,0.04361370716510903,0.047619047619047616,0.018521740728642384,0.0,0.001478259271357616,0.0,0.015275253223324368,0.015275253223324368,0.015275253223324368,0.013262080104114293,current,Current mechanism
2019-02-01,50.0,50.0,8375.0,7370.0,0.015,0.03,0.005970149253731343,0.0067842605156037995,0.014208211074570588,0.0,0.005791788925429413,0.0,0.23448369426866617,0.23448369426866617,0.23448369426866617,0.20358035909685038,current,Current mechanism
2019-03-01,350.0,340.0,8425.0,7420.0,0.023,0.03,0.04154302670623145,0.04582210242587601,0.023878541509333807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2019-04-01,125.0,135.0,8775.0,7760.0,0.025,0.03,0.014245014245014245,0.017396907216494846,0.023719480141642595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
